date,crypto_7_index,nasdaq_10_index,crypto_7_ma8,crypto_7_ma21,nasdaq_10_ma8,nasdaq_10_ma21,crypto_7_return,nasdaq_10_return,year,month,year_month
2024-03-29,3623.91779269664,2985.5726169833288,3450.443576714633,3436.8090377046983,2980.5060852633314,2972.6065260354176,0.005373425610900373,0.0,2024,3,2024-03
2024-03-30,3559.021831528368,2985.5726169833288,3494.144539788918,3444.673689676658,2980.5060852633314,2972.6065260354176,-0.017907680273282822,0.0,2024,3,2024-03
2024-03-31,3687.446923734237,2985.5726169833288,3549.080542938806,3459.355496234057,2980.5060852633314,2972.6065260354176,0.03608437887854121,0.0,2024,3,2024-03
2024-04-01,3517.247230721744,3009.7274714142045,3562.898493514097,3458.2674618723418,2987.931246819371,2975.46837424808,-0.04615651330925019,0.008090526518588659,2024,4,2024-04
2024-04-02,3280.059714185734,2976.3046151042568,3535.2631848915157,3448.863215037266,2986.7851329804203,2974.3536007184057,-0.06743555427786607,-0.011104944426826524,2024,4,2024-04
2024-04-03,3275.842019110731,2971.6582789589324,3504.368240159211,3430.509998602364,2985.8203782459072,2973.392429890864,-0.0012858592350504239,-0.0015611090752420953,2024,4,2024-04
2024-04-04,3337.064317540267,2917.020392025911,3485.6436057765386,3414.3190966892457,2975.894903155859,2972.890630375089,0.0186890265380244,-0.01838632904728299,2024,4,2024-04
2024-04-05,3282.2777941903523,2945.2562126833955,3445.359702963509,3399.36037527554,2971.5576231593736,2972.364431902865,-0.016417580884475536,0.009679678871862274,2024,4,2024-04
2024-04-06,3348.015157301877,2945.2562126833955,3410.8718735391635,3400.6323855930573,2971.5576231593736,2972.364431902865,0.02002797058429362,0.0,2024,4,2024-04
2024-04-07,3415.868915204269,2945.2562126833955,3392.977758998652,3397.400234359732,2971.5576231593736,2972.364431902865,0.020266861024928584,0.0,2024,4,2024-04
2024-04-08,3519.448241133626,2951.5001642205075,3371.977923673576,3404.421185940644,2969.012954389647,2968.830473174611,0.030322980331100702,0.0021200028405756743,2024,4,2024-04
2024-04-09,3374.156937752728,2965.769179876901,3354.091637052448,3421.402980356641,2965.35111640843,2968.547962444013,-0.04128240946487094,0.004834495972376729,2024,4,2024-04
2024-04-10,3426.6986572970245,2935.871016242019,3372.421504941359,3424.6923202318458,2959.1384163157663,2967.7756573479896,0.01557180668048308,-0.01008108245164352,2024,4,2024-04
2024-04-11,3394.161603183105,2998.290088864067,3387.211452950406,3429.564664600053,2957.708743496999,2967.15010984508,-0.009495160610237252,0.02126083614597829,2024,4,2024-04
2024-04-12,3095.2921932490995,2933.542642122929,3356.98993741401,3424.13028680553,2952.3634968743327,2965.841190827336,-0.08805397175364915,-0.021594790638042705,2024,4,2024-04
2024-04-13,2814.861664199226,2933.542642122929,3298.5629211651194,3403.5066089800107,2952.3634968743327,2965.841190827336,-0.09059904898849236,0.0,2024,4,2024-04
2024-04-14,2962.199528640343,2933.542642122929,3250.335967582428,3382.339747195293,2952.3634968743327,2965.841190827336,0.05234284381184029,0.0,2024,4,2024-04
2024-04-15,2874.08315811423,2879.017749870458,3182.6127479461725,3352.479793621381,2940.7834307382736,2962.8558499570945,-0.029746939621774438,-0.01858670519035399,2024,4,2024-04
2024-04-16,2840.1864949185897,2872.6063979385685,3097.7050296692933,3319.9647897142104,2935.231681477356,2960.3985800561536,-0.011793904814459522,-0.002226923377661616,2024,4,2024-04
2024-04-17,2753.414589725941,2821.3624991069523,3020.112236165945,3285.0387514820345,2919.7449672803004,2953.4273995493213,-0.030551481512884227,-0.017838816646927214,2024,4,2024-04
2024-04-18,2859.501110913964,2800.747100913704,2949.2125428680624,3249.5602797781958,2900.9008343669498,2946.3045863087414,0.03852907643617254,-0.0073068945233991656,2024,4,2024-04
2024-04-19,2878.290913575492,2709.601775967268,2884.7287066671106,3214.0542379152835,2868.8799088782457,2933.1678363159517,0.00657100729557758,-0.03254321852790665,2024,4,2024-04
2024-04-20,3018.6199482823786,2709.601775967268,2875.144676046271,3188.320814903569,2868.8799088782457,2933.1678363159517,0.04875429166837275,0.0,2024,4,2024-04
2024-04-21,2992.4459732970304,2709.601775967268,2897.342714683496,3155.2255315494167,2868.8799088782457,2933.1678363159517,-0.008670841455295286,0.0,2024,4,2024-04
2024-04-22,3099.3146798908447,2732.815331130655,2914.482108589809,3135.3239815098505,2843.497948239325,2921.426836996695,0.03571282741524917,0.008567146423241523,2024,4,2024-04
2024-04-23,3061.800327715839,2776.9245561792063,2937.94675479001,3124.930677392236,2815.827256653717,2910.9744733506427,-0.012104079788479827,0.016140580209019095,2024,4,2024-04
2024-04-24,2953.529636911984,2805.956414141675,2952.1146475391843,3109.5824687161053,2799.878978156061,2902.688852469043,-0.035361773863492596,0.01045468012368822,2024,4,2024-04
